TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
MAPK1IP1	66.6	60.1	101.2	55.9	31.2	55.2
MAPK1IP1L	39.2	42.5	36.0	31.4	26.3	25.0
MAPK3	6.7	10.2	7.1	11.7	56.3	16.9
MAPK4	0.0	0.0	1.4	1.5	5.5	0.9
MAPK6	116.4	78.0	55.9	62.5	43.6	53.9
MAPK7	0.7	0.8	0.2	2.5	3.4	2.1
MAPK8	20.9	20.3	24.0	16.1	15.7	18.5
MAPK8IP1	1.0	2.1	4.5	2.2	0.2	1.6
MAPK8IP2	0.0	0.0	0.0	1.3	0.0	0.0
MAPK8IP3	0.1	0.0	0.0	0.0	0.0	1.0
MAPK9	78.8	64.8	89.8	64.4	69.9	79.0
MAPKAP1	237.4	238.7	154.6	157.2	134.2	157.0
MAPKAPK2	459.5	465.5	322.1	208.7	901.0	335.3
MAPKAPK3	31.6	43.6	45.7	74.0	466.6	56.7
MAPKBP1	5.2	3.6	6.1	4.6	3.5	2.5
MAPKSP1	0.0	0.0	0.0	0.0	0.0	0.0
MAPRE1	987.6	1288.6	974.4	1216.6	1469.3	1486.6
MAPRE2	31.7	56.0	82.7	47.1	125.4	100.2
MAPRE3	0.0	0.2	1.5	0.0	0.0	0.0
MAPT	0.0	0.0	0.0	0.0	0.0	0.0
MARCH1	108.1	134.2	166.2	77.0	92.8	209.3
MARCH10	0.4	6.2	5.0	4.5	2.3	2.4
MARCH2	116.2	175.3	120.5	228.6	156.6	115.6
MARCH3	3.6	0.9	0.0	0.0	0.0	0.3
MARCH4	0.7	0.0	0.7	0.0	0.0	2.8
MARCH6	161.0	137.1	97.5	78.8	61.4	67.3
MARCH7	102.3	77.0	31.2	48.0	31.2	41.2
MARCH8	3.1	9.3	6.5	28.7	8.8	3.4
MARCKS	477.1	425.9	577.9	401.0	401.8	710.5
MARCKSL1	89.9	66.9	31.2	34.3	46.8	37.9
MARCO	4.8	2.6	6.0	2.6	3.8	10.4
