	SC	BMC
0610005C13RIK	5.59538718687e-05	5.70405937285e-05
0610005I04	3.88396496351e-05	-6.33393968957e-06
0610006I08RIK	0.00454432314258	0.00173509425278
0610007C21RIK	0.00413197259745	0.00464189215037
0610007J10RIK	0.00144361502131	-0.00146604158674
0610007L01RIK	-0.00198717891946	-0.000478426981872
0610007N19RIK	-0.00192107228733	0.000381875936034
0610007P08RIK	-0.000109319688211	-7.38620274614e-05
0610007P14RIK	0.00260755225283	-0.000333827287103
0610007P22RIK	-0.000196951957692	0.000870219130162
0610008C08RIK	-0.000118253975598	-4.0327618684e-05
0610008F07RIK	-3.15437465564e-05	8.73702167938e-05
0610009B14RIK	-2.37405709362e-05	6.79312748872e-05
0610009B22RIK	0.000750903862366	7.03834545911e-05
0610009D07RIK	-4.02622604709e-05	-3.81308335785e-05
0610009J05RIK	-0.00935512184907	-0.00160280155916
0610009L18RIK	8.78927003406e-05	0.000397956836321
0610009O04RIK	5.37634232825e-05	-9.8582849967e-05
0610009O20RIK	0.00049633265235	-0.000317672861162
0610010D20RIK	-9.9755739094e-06	-8.62994774151e-06
0610010D24RIK	-0.000448368864384	-0.00028548291048
0610010E21RIK	-0.000909548139217	0.00124894035533
0610010F05RIK	0.000136536840192	0.000103669845512
0610010I05RIK	-0.0108359363295	-0.0500407439386
0610010K06RIK	0.000402454722136	-0.00025821967983
0610010K14RIK	0.00160414703441	-0.000607183933905
0610011B16RIK	2.09250359131e-05	3.34653290928e-05
0610011F06RIK	0.000785807701557	8.95689225687e-05
0610011I19RIK	-0.000552077309876	-0.000330838004608
0610011L14RIK	-5.30598070947e-05	-3.43115860063e-05
0610012A05RIK	9.20584294266e-05	6.9857817884e-05
0610012D14RIK	-7.8095502534e-05	1.46692722484e-05
0610012G03RIK	0.00501740991289	-0.000698425503791
0610012H03RIK	-4.26917154824e-05	0.000154174884005
0610013E23RIK	0.000101471798708	2.87113218871e-05
0610025G21RIK	-3.7941183299e-05	-5.23630729371e-05
0610025J13RIK	-6.13470703194e-06	2.56662021812e-05
0610025P10RIK	-0.000100519982912	-0.0001462466909
0610030E20RIK	1.74669744551e-05	0.000947029347236
0610030G03RIK	-3.60530953175e-05	-3.1387285133e-05
0610030P10RIK	0.000215643221104	4.46361576975e-05
0610031G08RIK	-6.29144596373e-05	-3.82992416429e-06
0610031J06RIK	0.00102571952319	0.00170063650322
0610033M06RIK	-8.43163620975e-05	1.58573216838e-05
0610035N01RIK	-0.000149853614235	-4.45668599022e-06
0610037B23RIK	-2.92450508418e-06	-9.30257512267e-05
0610037D15RIK	-0.000330916784747	-2.48814790789e-05
0610037L13RIK	-0.00116592891011	0.000504351010656
0610037M15RIK	-0.00727103049521	-0.00120932908326
0610037P05RIK	0.000105920691568	-6.68674190559e-05
0610038B21RIK	-2.69432998724e-05	-8.54709366789e-05
0610038D11RIK	0.000253463312266	0.000269317023663
0610038F07RIK	0.00205699489766	-0.000183645707481
0610038F15RIK	0.000112075845474	-6.61817565061e-05
0610039K10RIK	-3.17579537904e-06	5.70721562709e-05
0610040B10RIK	-0.000283444320575	0.000100763761605
0610040J01RIK	-2.18975801197e-06	0.000152546887839
0610040O15RIK	0.0130590203635	0.0119481563541
0610041E09RIK	3.45979310578e-06	1.25426453967e-05
0610042C05RIK	0.000947232381079	0.000373190099948
0710001C05RIK	-7.72506035026e-05	-0.000526723873807
0710001D07RIK	0.000466449190224	0.00223708823049
0710007C18RIK	-3.38116129368e-05	8.01079806787e-05
0710007G10RIK	0.000598876387152	0.000109758408301
0710007J16RIK	4.12968468726e-05	0.000111235833833
0910001A06RIK	-0.000156195238749	0.000535248159844
0910001L09RIK	0.030756888812	0.0258715216706
100041294	0.00294642652421	-0.00192705543104
1010001D01RIK	3.95147712612e-05	3.86912974367e-05
1010001I08RIK	6.71260219885e-05	3.09875731009e-05
1010001N08RIK	0.000105857608172	-0.000100012584167
10181072_290	-0.000110985385452	-9.29813303375e-05
1100001E04RIK	-1.40068819546e-05	7.22002162171e-06
1100001F19RIK	-0.00487408005395	0.000244379578212
1100001G20RIK	0.00333474139876	-0.00827153487786
1100001H23RIK	2.06468507974e-05	-2.7515163461e-06
1100001I19RIK	9.13866849828e-07	-2.05959290527e-05
1100001J08RIK	-7.73482086869e-06	-0.000267541532801
1100001L02RIK	6.75796665141e-05	-9.2368822432e-05
1110001A07RIK	0.000565901604293	-0.000391711384902
1110001C20RIK	-7.71898160833e-05	-2.50536882316e-05
1110001C23RIK	0.00229326682138	0.00451158120744
1110001D15RIK	-7.50510152631e-05	4.00608994055e-06
1110001J03RIK	0.00332251669224	0.00138400628102
1110001N06RIK	0.00405082140361	0.00183221634508
1110001P04RIK	-0.00324216719086	-0.00161442063925
1110002B05RIK	0.00432166100157	0.0043903142836
1110002D22RIK	0.00388774403235	-0.00149677144942
1110002E22RIK	-2.94057170324e-05	0.000107172506737
1110002E23RIK	0.00175469429744	3.64692431799e-05
1110002H13RIK	-3.45949612145e-06	1.17846831208e-05
1110002L01RIK	7.70921931401e-05	2.28308727195e-06
1110002N22RIK	0.000716884017882	0.000371336621501
1110003E01RIK	0.0065843282857	0.0162314664719
1110003E08RIK	6.16141787998e-06	0.000145713937566
1110003F05RIK	-0.000422543231486	-0.000105797034484
1110003O08RIK	0.00155867558402	0.00182079901417
1110003P22RIK	0.0025615829722	0.00115213469588
1110004E09RIK	-6.65937797813e-06	5.48777902032e-06
1110004F10RIK	-6.68003127881e-05	1.29801716683e-05
1110004P21RIK	-0.000671632116569	-0.000303813885756
1110005A03RIK	1.51654726237e-05	7.30036918507e-05
1110005A23RIK	1.91711412955e-05	-0.00108112502287
1110005F07RIK	0.022006564834	0.0257931738848
1110006E14RIK	0.000119838180655	1.02287227411e-05
1110006G06RIK	-0.000133099236903	0.000261018489659
1110006G14RIK	2.83107287568e-05	-0.000123314063069
1110006O17RIK	-1.92412822904e-05	-8.99055640787e-05
1110007A13RIK	0.00125883727284	0.00270957904302
1110007B02RIK	4.55515416789e-06	-1.59064683169e-05
1110007C09RIK	7.02180996646e-05	5.54413439068e-05
1110007F05RIK	-6.73517843528e-05	-6.33469739785e-06
1110007H17RIK	-2.98227041185e-05	-5.56207398056e-05
1110007L15RIK	-0.000605768713113	-0.00513996817643
1110007M04RIK	-0.00741502070028	0.000115464621991
1110008B24RIK	8.41086525237e-05	-0.000562190493969
1110008F13RIK	0.00384086581849	0.00273568798264
1110008J03RIK	-3.52067299383e-05	5.24662906343e-05
1110008L16RIK	5.36758740105e-05	0.000148250483218
1110008P14RIK	0.00348892614022	0.00184763603195
1110011C06RIK	0.00172215883306	0.00150018215308
1110012D08RIK	-0.000994152079417	0.000242618530951
1110012F10RIK	7.27298968261e-05	-2.12955588471e-05
1110012J17RIK	3.33493389577e-05	5.73342252154e-05
1110012L19RIK	4.12894175465e-05	0.000360296406242
1110012N22RIK	0.000410225887117	0.000203455000618
1110012O05RIK	0.0012565329685	0.00705873101229
1110013L07RIK	-0.000312240428479	5.19185201556e-05
1110014C03RIK	4.56933424914e-06	1.51535432725e-06
1110014J17RIK	0.00129998745184	-0.000353675311205
1110014N23RIK	-0.000434719429316	0.000223418743559
1110014O20RIK	0.00196604868386	-0.00511122140451
1110015C02RIK	-3.68474327043e-05	-1.19292037837e-05
1110015M06RIK	3.67635618517e-05	2.28588747177e-06
1110017D15RIK	-0.000782965785331	-0.000253649709531
1110017F19RIK	2.83635355498e-05	0.000700380093133
1110017I16RIK	8.08422596527e-05	-4.60811582029e-05
1110018G07RIK	0.000531513969812	-0.00356106831585
1110018J18RIK	-0.000377810738264	6.45054310441e-05
